arm,target,key,variant,eval_target,target_f1,target_precision,target_recall,global_target_f1,delta_target_f1,H_all,D_all,H_ratio_all,H_target,D_target,H_ratio_target,macro_f1
natural,,natural,raw,mitm,0.049024319907718925,0.02545926517571885,0.6589147286821705,0.06737937379056562,-0.018355053882846695,66601,25998,0.7192410285208264,10101,11719,0.4629239230064161,0.6708532669682087
natural,,natural,raw,ransomware,0.11722951172295117,0.06345325416230062,0.768688293370945,0.1396551724137931,-0.02242566069084194,66601,25998,0.7192410285208264,261,197,0.5698689956331878,0.6708532669682087
natural,,natural,raw,scanning,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,66601,25998,0.7192410285208264,26,441,0.055674518201284794,0.6708532669682087
natural,,natural,raw,injection,0.8944752720612003,0.8342817662207148,0.9640301345603925,0.9315305555360145,-0.03705528347481424,66601,25998,0.7192410285208264,1865,7550,0.1980881571959639,0.6708532669682087
natural,,natural,prior_b0.5,mitm,0.051963087819661524,0.027050982060554493,0.657192075796727,0.06737937379056562,-0.015416285970904095,67165,24714,0.7310157925097138,10661,10446,0.5050930970767992,0.6712401351977431
natural,,natural,prior_b0.5,ransomware,0.11743158801982331,0.06357167852560364,0.768688293370945,0.1396551724137931,-0.022223584393969792,67165,24714,0.7310157925097138,265,189,0.5837004405286343,0.6712401351977431
natural,,natural,prior_b0.5,scanning,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,67165,24714,0.7310157925097138,26,441,0.055674518201284794,0.6712401351977431
natural,,natural,prior_b0.5,injection,0.8944993669692644,0.834323689400887,0.9640301345603925,0.9315305555360145,-0.03703118856675014,67165,24714,0.7310157925097138,1865,7547,0.19815129621759456,0.6712401351977431
natural,,natural,prior_b1.0,mitm,0.05431675242995998,0.028333892554896916,0.6546080964685616,0.06737937379056562,-0.013062621360605639,67813,23968,0.7388566260990836,11298,9703,0.5379743821722776,0.6714970170911858
natural,,natural,prior_b1.0,ransomware,0.11707527810778702,0.06339181286549708,0.764456981664316,0.1396551724137931,-0.022579894306006085,67813,23968,0.7388566260990836,275,185,0.5978260869565217,0.6714970170911858
natural,,natural,prior_b1.0,scanning,0.0059533653051099715,1.0,0.0029855697462265714,0.13841678150359824,-0.13246341619848825,67813,23968,0.7388566260990836,26,441,0.055674518201284794,0.6714970170911858
natural,,natural,prior_b1.0,injection,0.8945220424821195,0.8343740184684968,0.9640156188761957,0.9315305555360145,-0.037008513053894965,67813,23968,0.7388566260990836,1866,7545,0.19827861013707362,0.6714970170911858
sqrt_natural,,sqrt_natural,raw,mitm,0.05544305183077007,0.028631186229897403,0.8725236864771748,0.06737937379056562,-0.011936321959795548,60698,41242,0.5954286835393369,6328,12146,0.34253545523438345,0.73017380116986
sqrt_natural,,sqrt_natural,raw,ransomware,0.1257813251274161,0.06749226006191951,0.922425952045134,0.1396551724137931,-0.013873847286377,60698,41242,0.5954286835393369,28,728,0.037037037037037035,0.73017380116986
sqrt_natural,,sqrt_natural,raw,scanning,0.6134851397308887,0.553421368547419,0.6881738265052247,0.13841678150359824,0.47506835822729043,60698,41242,0.5954286835393369,3967,3549,0.5278073443320915,0.73017380116986
sqrt_natural,,sqrt_natural,raw,injection,0.9136601682602966,0.854729815156649,0.9813183144387511,0.9315305555360145,-0.01787038727571788,60698,41242,0.5954286835393369,3184,6231,0.3381837493361657,0.73017380116986
sqrt_natural,,sqrt_natural,prior_b0.5,mitm,0.3206459054209919,0.20638455827765403,0.7183462532299741,0.06737937379056562,0.2532665316304263,80093,22774,0.7786073279088532,25499,245,0.9904832193909261,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,ransomware,0.13544546034446098,0.07324364723467862,0.8984485190409027,0.1396551724137931,-0.004209712069332128,80093,22774,0.7786073279088532,120,225,0.34782608695652173,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,scanning,0.14371441760270812,0.9936170212765958,0.07745894841598938,0.13841678150359824,0.005297636099109881,80093,22774,0.7786073279088532,393,352,0.5275167785234899,0.7163009449805927
sqrt_natural,,sqrt_natural,prior_b0.5,injection,0.9310528758563839,0.8904937322767869,0.9754830093916477,0.9315305555360145,-0.0004776796796306382,80093,22774,0.7786073279088532,4256,4825,0.46867085122783836,0.7163009449805927
