class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,127367,114654,-12713,3488430,3488427
bot,5,5,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,232,234,2,218986,219290
dos,2,4,2,21496,33901
infiltration,12093,12092,-1,12151,12151
web_attacks,2237,2241,4,246,246
