expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.8841,11556,11871,0.6117,0.0956
2,202122,0.6295,60954,13927,0.5527,-0.0728
3,202122,0.875,14680,10582,0.7125,0.1484
4,202122,0.9233,9200,6302,0.8333,0.0485
5,202122,0.9643,2152,5063,0.7358,0.0965
