expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.3409,0.0104,9.6512
2,0.668,0.2313,9.5627
3,0.3776,0.0017,16.8803
4,0.1843,0.0015,17.9747
5,0.1437,0.0024,27.4593
