a,b,gain_pearson_r
e1,e2,0.9642
e1,e3,0.8884
e1,e4,0.989
e1,e5,0.8955
e2,e3,0.9262
e2,e4,0.9852
e2,e5,0.9026
e3,e4,0.9108
e3,e5,0.9113
e4,e5,0.9005
