a,b,agreement
global,e1,0.4818
global,e2,0.5516
global,e3,0.5296
global,e4,0.5238
global,e5,0.9493
e1,e2,0.8244
e1,e3,0.845
e1,e4,0.9188
e1,e5,0.4999
e2,e3,0.9567
e2,e4,0.854
e2,e5,0.5761
e3,e4,0.881
e3,e5,0.5548
e4,e5,0.5303
