run,item,value,note
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert1_solo_recovery,0.471195,share of full-bank oracle utility recovered alone
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert2_solo_recovery,0.914751,share of full-bank oracle utility recovered alone
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert3_solo_recovery,0.912773,share of full-bank oracle utility recovered alone
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert4_solo_recovery,0.474349,share of full-bank oracle utility recovered alone
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert5_solo_recovery,0.564912,share of full-bank oracle utility recovered alone
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert1_shared_variance_share,0.843783,fraction of gain variance that is the shared global term
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert2_shared_variance_share,0.763245,fraction of gain variance that is the shared global term
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert3_shared_variance_share,0.891271,fraction of gain variance that is the shared global term
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert4_shared_variance_share,0.814682,fraction of gain variance that is the shared global term
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert5_shared_variance_share,1.599348,fraction of gain variance that is the shared global term
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_benign,2.8e-05,n=100000
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_benign,0.120957,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_bot,7.8e-05,n=31156
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_bot,3.2e-05,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_brute_force,0.072484,n=86279
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_brute_force,0.935164,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_ddos,8e-06,n=100000
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_ddos,0.1984,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_dos,0.532346,n=45446
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_dos,0.37315,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_infiltration,0.247293,n=28224
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_infiltration,0.598943,"positive-gain set overlap, within class"
20260827_174858_nfv3_cic2018_exp24b_signscorer,utility_share_web_attacks,0.147762,n=381
20260827_174858_nfv3_cic2018_exp24b_signscorer,posJaccard_e1e2_web_attacks,1.0,"positive-gain set overlap, within class"
