regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,15468,0.3205,46.0,True,0,0,0,0,0,15468,0
2,17610,0.3799,45.09,False,0,0,17610,0,0,0,0
3,20718,0.1305,13.16,True,0,0,0,0,20718,0,0
4,6322,0.0576,19.87,True,1090,0,0,0,5089,21,122
5,9,0.0002,74.69,False,0,9,0,0,0,0,0
6,130,0.0029,2572.17,True,0,0,0,0,0,0,130
7,1935891,0.0348,0.04,True,1740315,20642,39579,131674,463,3218,0
8,3852,0.0737,47.05,False,0,0,0,0,3852,0,0
