run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_174858_nfv3_cic2018_exp24b_signscorer,ALL,4023114,634016,0.157593,12732,0.020082,621284,0.979918,1.157593
20260827_174858_nfv3_cic2018_exp24b_signscorer,benign,3502926,523476,0.14944,18,3.4e-05,523458,0.999966,1.14944
20260827_174858_nfv3_cic2018_exp24b_signscorer,bot,41542,20,0.000481,0,0.0,20,1.0,1.000481
20260827_174858_nfv3_cic2018_exp24b_signscorer,brute_force,115040,37646,0.327243,0,0.0,37646,1.0,1.327243
20260827_174858_nfv3_cic2018_exp24b_signscorer,ddos,264872,35964,0.135779,308,0.008564,35656,0.991436,1.135779
20260827_174858_nfv3_cic2018_exp24b_signscorer,dos,60594,18586,0.30673,12405,0.667438,6181,0.332562,1.30673
20260827_174858_nfv3_cic2018_exp24b_signscorer,infiltration,37631,18142,0.482103,0,0.0,18142,1.0,1.482103
20260827_174858_nfv3_cic2018_exp24b_signscorer,web_attacks,509,182,0.357564,1,0.005495,181,0.994505,1.357564
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert1,36567,36567,,309,0.00845,36258,0.99155,
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert2,23185,23185,,2,8.6e-05,23183,0.999914,
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert3,50808,50808,,12409,0.244233,38399,0.755767,
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert4,60063,60063,,12,0.0002,60051,0.9998,
20260827_174858_nfv3_cic2018_exp24b_signscorer,expert5,463393,463393,,0,0.0,463393,1.0,
20260827_174858_nfv3_cic2018_exp24b_signscorer,MEASURED_COMPUTE,,,,,,,,2.0439
