K,beta,tune_expert_balanced_nll
2,0.0,2.719401
2,0.5,4.056661
2,1.0,8.020462
4,0.0,1.843648
4,0.5,3.365895
4,1.0,6.694949
8,0.0,2.195692
8,0.5,3.793536
8,1.0,7.770988
