class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.43451843655669764,0.89536,0.5850917146423227,,0.89536,0.6295075,0.7755,0.03681,0.66964,2e-05,0.89536
ddos,flood,False,False,100000,0.9983368066688041,0.99642,0.9973774823830878,0.9868504498791074,0.99589,0.9913496187461427,-0.006027863636945074,0.99686,0.981525,0.99686,0.0001,0.00641,0.0,0.06739
password,probe_access,False,False,100000,0.9981510169406826,0.9987,0.9984254330059233,0.9994563098828502,0.97429,0.9867127130573925,-0.011712719948530848,0.97429,0.99885,0.00101,0.97429,0.00127,0.0,0.00232
scanning,probe_access,False,False,100000,0.9997497397293185,0.99871,0.9992295993916837,1.0,0.38886,0.5599700473769854,-0.43925955201469824,0.38921,0.7498275000000001,0.00395,0.38921,0.00096,0.0,0.99578
xss,application,False,True,100000,0.9317747957005426,0.99084,0.9604001182520028,0.9659847451634086,0.95618,0.9610573661331255,0.0006572478811227578,0.95618,0.973775,0.03972,4e-05,0.95618,0.0,0.06514
dos,flood,False,False,40692,0.9689168518571964,0.8250270323405092,0.8912013379169377,0.9155142878422999,0.9062223532881156,0.9108446233836806,0.019643285466742877,0.9062469281431239,0.9670389757200433,0.9062469281431239,0.0,0.06069989187063796,0.0,0.07114420524918903
backdoor,stealth_malware,True,False,40678,0.9996310598420937,0.9991150007374994,0.9993729636687773,1.0,0.9970008358326368,0.9984981657926484,-0.0008747978761288744,0.9970008358326368,0.9992379173017356,0.0003933330055558287,9.833325138895717e-05,0.00034416637986135014,0.9970008358326368,0.0022124981562515363
mitm,stealth_malware,True,False,1204,0.773109243697479,0.7641196013289037,0.7685881370091896,0.0,0.0,0.0,-0.7685881370091896,0.0,0.9013704318936877,0.0946843853820598,0.0,0.013289036544850499,0.0,0.2865448504983389
ransomware,stealth_malware,True,False,795,0.9767741935483871,0.9522012578616352,0.9643312101910828,0.0,0.0,0.0,-0.9643312101910828,0.0,0.9477987421383649,0.042767295597484274,0.0,0.0037735849056603774,0.0,0.16226415094339622
macro_avg,,,,483369,0.955805463498063,0.9406416115335684,0.9473657852273356,0.7334757240959582,0.6523053986400941,0.6760540668112469,-0.2713117184160887,,,,,,,
tail_macro_avg,,,,42677,0.9165048323626532,0.9051452866426795,0.9107641036230166,0.3333333333333333,0.33233361194421224,0.3328327219308828,-0.5779313816921338,,,,,,,
weighted_avg,,,,483369,0.9818559976027573,0.9813579273805312,0.9809328794171022,0.9788820919285588,0.8460492915350385,0.8846036306304432,-0.09632924878665902,,,,,,,
