true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0022124981562515363,0.9970008358326368,0.0007374993854171788,4.9166625694478586e-05,0.997836668469443
ddos,target known,flood,100000,0.00081,0.99268,0.00233,0.00418,1.00337
dos,target known,flood,40692,0.03310232969625479,0.9061977784331072,0.06065074216062125,4.91497100167109e-05,0.9669468200137619
mitm,target known,stealth_malware,1204,0.8920265780730897,0.0,0.1079734219269103,0.0,0.1079734219269103
password,target known,probe_access,100000,0.02357,0.97421,0.00208,0.00014,0.97657
ransomware,target known,stealth_malware,795,0.9534591194968554,0.0,0.04654088050314465,0.0,0.04654088050314465
scanning,target known,probe_access,100000,0.60592,0.38921,0.00483,4e-05,0.39412
xss,target known,application,100000,0.0125,0.94774,0.03132,0.00844,0.99594
unseen::injection,target unseen,,76356,0.11272198648436273,,0.7335900256692336,0.1536879878464037,1.040966001362041
benign_diagnostic,benign diagnostic,,100000,0.13574,,0.72803,0.13623,1.00049
