true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
xss,application,flood,3972,100000,0.21248741188318226,0.9957200402819738,0.21248741188318226,-4.367617607116699,-4.360879421234131,-1.4355822801589966,-1.1293525695800781
dos,flood,application,2470,40692,0.0008097165991902834,0.0,0.0,-0.814071774482727,-1.1293525695800781,-4.4266510009765625,-4.360879421234131
ddos,flood,application,641,100000,0.6521060842433697,0.0015600624024961,0.0015600624024961,-1.6573811769485474,-1.1293525695800781,-4.6647443771362305,-4.360879421234131
scanning,probe_access,flood,395,100000,0.0,1.0,0.0,-5.58881950378418,-7.6698527336120605,-2.3445770740509033,-1.1293525695800781
password,probe_access,application,127,100000,0.06299212598425197,0.9133858267716536,0.06299212598425197,-6.044379234313965,-7.6698527336120605,-4.533533573150635,-4.360879421234131
mitm,stealth_malware,flood,114,1204,0.0,1.0,0.0,-4.29379415512085,-5.777131080627441,-1.6685384511947632,-1.1293525695800781
password,probe_access,flood,101,100000,0.0,0.9900990099009901,0.0,-5.828402519226074,-7.6698527336120605,-1.9339735507965088,-1.1293525695800781
scanning,probe_access,application,96,100000,0.0,0.9270833333333334,0.0,-6.260599613189697,-7.6698527336120605,-4.5885329246521,-4.360879421234131
ransomware,stealth_malware,flood,34,795,0.0,1.0,0.0,-4.314497470855713,-5.777131080627441,-2.922199010848999,-1.1293525695800781
backdoor,stealth_malware,flood,16,40678,0.0,1.0,0.0,-3.599396228790283,-5.777131080627441,-1.5454983711242676,-1.1293525695800781
mitm,stealth_malware,application,16,1204,0.0,0.0,0.0,-3.7585525512695312,-5.777131080627441,-4.785822868347168,-4.360879421234131
backdoor,stealth_malware,application,14,40678,0.0,0.0,0.0,-2.9887309074401855,-5.777131080627441,-4.740969657897949,-4.360879421234131
ddos,flood,probe_access,10,100000,0.0,0.0,0.0,0.14071974158287048,-1.1293525695800781,-8.046529769897461,-7.6698527336120605
backdoor,stealth_malware,probe_access,4,40678,0.0,0.0,0.0,-3.740910530090332,-5.777131080627441,-7.720873832702637,-7.6698527336120605
xss,application,probe_access,4,100000,0.0,0.0,0.0,-3.9534761905670166,-4.360879421234131,-7.931203842163086,-7.6698527336120605
ransomware,stealth_malware,application,3,795,0.0,0.3333333333333333,0.0,-4.410032749176025,-5.777131080627441,-4.4522929191589355,-4.360879421234131
