expert,epoch,loss,ce_loss,energy_margin_loss,val_macro_f1,val_accuracy
flood,1,0.07512611050581933,0.008154834892451763,0.6697127453727723,0.9995653743486648,0.9995699683540814
flood,2,0.03312481336891651,0.006456354605287313,0.26668458360290526,0.999531938388055,0.9995368889967031
flood,3,0.0271648098692894,0.0061450450155586004,0.21019764452934264,0.9995430816647228,0.9995479154491625
flood,4,0.02417332194006443,0.0058631924223974344,0.18310129191589355,0.999587655281277,0.9995920212590004
flood,5,0.02236088739299774,0.005754356160059571,0.16606530999755859,0.9995765098580918,0.999580994806541
flood,6,0.021190343421697618,0.0056745577122271065,0.15515785415649413,0.999587655281277,0.9995920212590004
flood,7,0.02027486642551422,0.005426277499124408,0.14848588751220704,0.9996210912435148,0.9996251006163787
flood,8,0.019504708773970605,0.005266862487874925,0.14237846068382262,0.9996210912435148,0.9996251006163787
flood,9,0.01893972407197952,0.005211970804467797,0.13727752990531922,0.9998439866074428,0.9998456296655677
flood,10,0.018394531924009323,0.005068019429504872,0.1332651235561371,0.9998439858936865,0.9998456296655677
flood,11,0.01799556195473671,0.004951544214386493,0.13044017606830596,0.9998439873210391,0.9998456296655677
flood,12,0.017603008298277854,0.00490897139691934,0.12694036702251435,0.9996099459739799,0.9996140741639192
flood,13,0.017301995654702185,0.004775343755155802,0.12526651792812346,0.9998105538660518,0.9998125503081894
flood,14,0.017007937186956406,0.004633182802408934,0.12374754203605652,0.9998439866074428,0.9998456296655677
flood,15,0.016701429444134237,0.004581488173626363,0.12119941071128845,0.9995988006532368,0.9996030477114598
probe_access,1,0.015854719336286186,0.001927583933021524,0.1392713514664173,0.9995599999296001,0.99956
probe_access,2,0.006918495541006327,0.0017999168702363968,0.05118578576874733,0.999609999957529,0.99961
probe_access,3,0.004662203461706638,0.0015464623071721288,0.031157410767555238,0.999639999971776,0.99964
probe_access,4,0.0036971222538501026,0.0014726055768323131,0.022245166409134865,0.9996599999694,0.99966
probe_access,5,0.003256169612839818,0.0014505100226141513,0.018056595514059068,0.999679999978368,0.99968
probe_access,6,0.0029511638630479575,0.0013997629189230502,0.015514009188771247,0.9996999999827201,0.9997
probe_access,7,0.0027597243414595723,0.0013663040340926964,0.013934202844828367,0.999709999984659,0.99971
probe_access,8,0.002606484806537628,0.001331761534281075,0.012747232414484024,0.999709999984659,0.99971
probe_access,9,0.0024508557520657778,0.0012857109554426278,0.011651447767078877,0.999669999975943,0.99967
probe_access,10,0.002375597998380661,0.001284828954860568,0.010907690205276013,0.999709999984659,0.99971
probe_access,11,0.0022687332494407894,0.0012351931502092629,0.01033540083104372,0.999679999978368,0.99968
probe_access,12,0.0022264742449074983,0.0012373033206667752,0.009891709028840064,0.9996999999827201,0.9997
probe_access,13,0.0021679235102981327,0.0012036097982819193,0.009643136907428502,0.999679999978368,0.99968
probe_access,14,0.002128166452653706,0.0012039017612151801,0.009242646725833416,0.999669999975943,0.99967
probe_access,15,0.0020909686241336167,0.0011838014736822806,0.009071671355724335,0.999729999988093,0.99973
application,1,0.007652227692320943,0.000304975284027867,0.0734725229152441,0.5,1.0
application,2,0.0023810665837675333,0.00013632764089433475,0.022447388988018038,0.5,1.0
application,3,0.0017262034390568733,7.47021318343468e-05,0.016515012788772584,0.5,1.0
application,4,0.0014241516067385674,4.706794718606397e-05,0.013770836360573769,0.5,1.0
application,5,0.0012284716624170542,3.383571686199866e-05,0.011946359234929085,0.5,1.0
application,6,0.0010899901554808022,2.2588243733509444e-05,0.010674018872380257,0.5,1.0
