role,branch,count,share_of_role,accuracy
known,all_out,6348,0.013132823991608896,0.0
known,argmin,55826,0.11549354633830469,0.9652312542542901
known,owner_only,421195,0.8713736296700865,0.841311031707404
known,ALL,483369,1.0,0.8445742279707635
unseen,all_out,8208,0.1074964639321075,1.0
unseen,argmin,20765,0.27194981402902196,0.0
unseen,owner_only,47383,0.6205537220388706,0.0
unseen,ALL,76356,1.0,0.1074964639321075
benign,all_out,1977,0.01977,0.0
benign,argmin,82852,0.82852,0.2150943851687346
benign,owner_only,15171,0.15171,0.44664161887812276
benign,ALL,100000,1.0,0.24597
