expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.7828,26,43875,0.7529,0.6313
2,202121,normgain,0.8858,1036,22046,0.8004,0.7
3,202121,normgain,0.6198,87,76760,0.8568,0.3584
