method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7223,0.708,0.0184,0.001816
global_tabpfn,4023114,0.7223,0.708,0.0184,0.001816
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
