class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3496564,0,0,6362,0
bot,41542,41415,0,0,127,0
brute_force,115040,115020,0,0,20,0
ddos,264872,191523,0,0,73349,0
dos,60594,36762,0,0,23832,0
infiltration,37631,10082,0,0,27549,0
web_attacks,509,236,0,0,273,0
