expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,1983988,12761,186000,118284,1444,39742,10373,14107,1916,134
2,16012,12761,16012,0,9,0,0,1,15884,118
