class,winner,rows
benign,benign,1520292
ddos,flood,102128
benign,tail,86950
dos,flood,25922
brute_force,bf_bot,18733
infiltration,benign,5896
infiltration,tail,3448
bot,bf_bot,540
benign,bf_bot,485
web_attacks,tail,189
dos,tail,180
ddos,tail,117
benign,flood,101
dos,benign,91
brute_force,tail,63
ddos,bf_bot,55
infiltration,bf_bot,29
ddos,benign,23
bot,tail,20
web_attacks,benign,7
dos,bf_bot,6
bot,benign,1
web_attacks,bf_bot,1
