arm,cls,test_support,train_rows,precision,recall,f1,realistic_oracle_f1
original,benign,3502926,10508775,0.9913529082099558,0.9973382252436963,0.9943365597927195,0.9974429513531251
original,bot,41541,124621,1.0,0.9956187862593582,0.997804583835947,1.0
original,brute_force,115039,345116,0.8449265035370861,0.9998261459157329,0.9158730411517391,0.9159593611159769
original,ddos,264871,794609,0.9994750334330897,0.9847510675007835,0.9920584208124145,0.9997414504066022
original,dos,60594,181779,1.0,0.6423243225401855,0.7822137366226197,0.7890645296668598
original,infiltration,37631,112891,0.6320852296235002,0.32478541627913154,0.42909052609405446,0.7058803881289978
original,web_attacks,508,1522,0.10512710038776389,0.48031496062992124,0.1724991162955108,0.5864864864864865
dedup_xy,benign,1607828,4823483,0.9949833264442904,0.9956064952221257,0.9952948132894245,0.9999393628622719
dedup_xy,bot,561,1682,0.998158379373849,0.966131907308378,0.9818840579710145,1.0
dedup_xy,brute_force,18796,56388,0.9995211492418197,0.9994679719089168,0.9994945598680536,1.0
dedup_xy,ddos,102323,306965,1.0,0.9990324755919979,0.9995160036568612,1.0
dedup_xy,dos,26199,78596,1.0,0.9999236612084431,0.9999618291472632,1.0
dedup_xy,infiltration,9373,28118,0.1857638888888889,0.17123653045983142,0.17820462998945205,0.9893284466961302
dedup_xy,web_attacks,197,590,0.4883720930232558,0.1065989847715736,0.175,0.9923273657289002
dedup_majority,benign,1607116,4821345,0.9970272073125842,0.9960625119779779,0.9965446261793514,1.0
dedup_majority,bot,561,1682,0.9962962962962963,0.9590017825311943,0.9772933696639419,1.0
dedup_majority,brute_force,18796,56388,0.9994148002340799,0.9994679719089168,0.9994413853642965,1.0
dedup_majority,ddos,102323,306965,1.0,0.9990617945134525,0.9995306770960646,1.0
dedup_majority,dos,26199,78594,1.0,0.9999236612084431,0.9999618291472632,1.0
dedup_majority,infiltration,5999,17995,0.18940754039497307,0.24620770128354727,0.21410451547437848,1.0
dedup_majority,web_attacks,149,442,0.9130434782608695,0.14093959731543623,0.2441860465116279,1.0
drop_conflict,benign,1603707,4811120,0.9974155689026565,0.9960510242831141,0.996732829571761,1.0
drop_conflict,bot,561,1682,0.9963031423290203,0.9607843137254902,0.9782214156079855,1.0
drop_conflict,brute_force,18796,56387,0.9993084738549923,0.9994679719089168,0.999388216518154,1.0
drop_conflict,ddos,102323,306964,1.0,0.9991888431730891,0.9995942570259528,1.0
drop_conflict,dos,26199,78594,1.0,0.9999236612084431,0.9999618291472632,1.0
drop_conflict,infiltration,5297,15889,0.17983651226158037,0.2616575420049084,0.2131651799446324,1.0
drop_conflict,web_attacks,138,409,0.8333333333333334,0.14492753623188406,0.24691358024691357,1.0
