arm,rows,train,val,test,macro_f1,accuracy,realistic_oracle_macro,test_conflict_rows,fit_seconds,small_train_only
original,20115529,12069313,4023106,4023110,0.7548394263721435,0.9848597229506526,0.8563678810225782,788269,463.3,[]
dedup_xy,8826374,5295822,1765275,1765277,0.7613365562745813,0.9914245752932825,0.9973707393267575,396,159.9,"[[""brute_force_xss"", 1], [""dos_attacks_slowhttptest"", 1], [""ftp_bruteforce"", 1]]"
dedup_majority,8805692,5283411,1761138,1761143,0.7758660642052748,0.9936921646907718,1.0,0,157.0,"[[""ftp_bruteforce"", 1]]"
drop_conflict,8785083,5271045,1757017,1757021,0.7762824725803803,0.994035927857436,1.0,0,157.2,[]
