arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,51593,0.8358514775150061,0.826271186440678,0.004184100418409997,0.9391971779117322,0.07032951866663162,-0.0009362846305276395,0.0,12353,9806,12353,False,1863,1828,0
hdn,cal_confirm,51593,0.8355133315902503,0.8225783543225074,0.004184100418409997,0.938848293373132,0.06999137274187583,-0.004629116748698259,0.0,9977,9964,9977,False,1866,1810,0
global,full_test,2271723,0.6837338628614459,0.10351727310217937,0.1368423837178543,0.8889913074789488,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,2271723,0.7846674879053418,0.11420617260834287,0.12075680559342661,0.9205774647701326,0.10093362504389591,0.010688899506163502,-0.01608557812442768,0,71755,0,False,71755,71755,0
expert1_always,full_test,2271723,0.6696172410776259,0.061270071804090456,0.20049013024468532,0.8631699375319967,-0.014116621783820005,-0.04224720129808891,0.06364774652683103,0,184785,0,False,184785,59627,118286
expert2_always,full_test,2271723,0.6730214053002412,0.0759572064193248,0.20487050821337827,0.8571942970159654,-0.010712457561204647,-0.027560066682854573,0.06802812449552398,0,191354,0,False,191354,51492,123726
expert3_always,full_test,2271723,0.6218531557833307,0.07891407223658202,0.19500889234363106,0.8593503697413813,-0.061880707078115216,-0.02460320086559735,0.05816650862577677,0,195982,0,False,195982,43259,110595
expert4_always,full_test,2271723,0.6205270643498032,0.03474864094524592,0.2969140650965677,0.7856648896014171,-0.06320679851164268,-0.06876863215693345,0.16007168137871342,0,345124,0,False,345124,31838,266567
expert5_always,full_test,2271723,0.6726074247290939,0.03437976767492891,0.1968002485243865,0.8660241587552708,-0.011126438132352034,-0.06913750542725046,0.0599578648065322,0,186930,0,False,186930,59438,111613
expert6_always,full_test,2271723,0.6703126080599949,0.07885193148883023,0.1903626258392107,0.8682304136551859,-0.013421254801450955,-0.024665341613349143,0.05352024212135642,0,165141,0,False,165141,53517,100680
expert7_always,full_test,2271723,0.6859405628577614,0.031925330723460196,0.283111601286575,0.8110922854590986,0.0022066999963155087,-0.07159194237871917,0.1462692175687207,0,311717,0,False,311717,63801,240766
legacy,full_test,2271723,0.7543267433252032,0.10340967575913536,0.13710623739233885,0.899090690194183,0.07059288046375733,-0.00010759734304401081,0.0002638536744845599,162730,142578,162730,False,24104,23332,389
hdn,full_test,2271723,0.7533561302016647,0.10350222729605851,0.13711098540190547,0.8976860295027167,0.06962226734021881,-1.504580612085582e-05,0.000268601684051184,143563,143419,143563,False,20832,20148,396
