class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3451055,1,213,51657,2
bot,41542,41415,0,0,127,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,238252,2928,81,23611,6
dos,60594,22335,4157,0,34102,4389
infiltration,37631,12926,0,0,24705,0
web_attacks,509,251,5,0,253,0
