class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,106465,95065,-11400,3451268,3451056
bot,4,4,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,250,249,-1,238333,241180
dos,5,102,97,22335,26492
infiltration,49325,50818,1493,12926,12926
web_attacks,2083,5097,3014,251,256
