expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,1400,0,98,114,103,100,109,115,761
1,15594,1400,15594,0,9,0,0,0,15451,134
2,11036,1400,11036,2691,0,0,0,8128,99,118
3,1955760,1400,186000,121280,10020,21903,9095,21994,1708,0
