run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,ALL,4023114,415562,0.103294,14515,0.034929,401047,0.965071,1.103294
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,benign,3502926,197741,0.05645,224,0.001133,197517,0.998867,1.05645
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,bot,41542,449,0.010808,0,0.0,449,1.0,1.010808
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,brute_force,115040,77364,0.672497,0,0.0,77364,1.0,1.672497
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,ddos,264872,101198,0.382064,5732,0.056641,95466,0.943359,1.382064
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,dos,60594,35363,0.583606,8552,0.241835,26811,0.758165,1.583606
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,infiltration,37631,3186,0.084664,0,0.0,3186,1.0,1.084664
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,web_attacks,509,261,0.51277,7,0.02682,254,0.97318,1.51277
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert1,217216,217216,,8217,0.037829,208999,0.962171,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert2,76234,76234,,717,0.009405,75517,0.990595,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert3,122112,122112,,5581,0.045704,116531,0.954296,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,MEASURED_COMPUTE,,,,,,,,2.0318
