run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,1.0,4023114,0.307335,7,0.042864,0.657843
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.99,3982883,0.297535,7,0.038923,0.674293
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.97,3902421,0.284962,7,0.030774,0.695943
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.95,3821958,0.27732,7,0.029484,0.701418
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.9,3620803,0.26804,7,0.028245,0.70892
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.8,3218491,0.279457,7,0.020799,0.662506
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.7,2816180,0.243167,7,0.019541,0.676289
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.5,2011557,0.265923,7,0.004032,0.641351
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,0.3,1206934,0.045998,6,0.002003,0.718512
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_maxprob,AURC_balanced,4023114,0.163713,7,,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,1.0,4023114,0.320066,7,0.044553,0.660199
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.99,3982883,0.310835,7,0.040628,0.664202
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.97,3902421,0.299823,7,0.032743,0.683432
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.95,3821958,0.291262,7,0.031237,0.689294
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.9,3620803,0.277242,7,0.029171,0.701234
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.8,3218491,0.290685,7,0.021364,0.656483
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.7,2816180,0.243592,7,0.019564,0.676107
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.5,2011557,0.266167,7,0.004037,0.641209
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,0.3,1206934,0.046006,6,0.002003,0.718509
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,global_maxprob,AURC_balanced,4023114,0.166688,7,,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,1.0,4023114,0.307335,7,0.042864,0.657843
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.99,3982883,0.283273,7,0.037996,0.68999
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.97,3902421,0.34303,7,0.038392,0.577842
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.95,3821958,0.341274,7,0.038855,0.578282
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.9,3620803,0.483257,7,0.032217,0.51114
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.8,3218491,0.539488,7,0.023,0.47706
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.7,2816180,0.539501,7,0.02416,0.477044
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.5,2011557,0.539528,7,0.027792,0.477048
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,0.3,1206934,0.539433,7,0.035192,0.476935
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,system_glower,AURC_balanced,4023114,0.357558,7,,
