expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.7102,53505,5078,0.4754,0.1038
2,202122,0.6656,51422,16172,0.5227,0.1529
3,202122,0.8268,7601,27406,0.8101,0.0317
