round,expert,tune_pos_coverage,marginal,action
1,1,0.1795,0.011,kept
1,2,0.5252,-0.0003,removed
1,3,0.3493,0.0016,kept
1,4,0.1952,0.026,kept
2,1,0.1795,0.0154,kept
2,3,0.3493,0.0019,kept
2,4,0.1952,0.0261,kept
