K,beta,tune_expert_balanced_nll
2,0.0,2.831102
2,0.5,4.018106
2,1.0,8.057976
4,0.0,2.724608
4,0.5,4.261683
4,1.0,8.94548
8,0.0,2.583244
8,0.5,3.686418
8,1.0,7.866456
