run,item,value,note
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert1_solo_recovery,0.637367,share of full-bank oracle utility recovered alone
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert2_solo_recovery,0.897081,share of full-bank oracle utility recovered alone
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert3_solo_recovery,0.524612,share of full-bank oracle utility recovered alone
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert1_shared_variance_share,0.716032,fraction of gain variance that is the shared global term
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert2_shared_variance_share,0.691481,fraction of gain variance that is the shared global term
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,expert3_shared_variance_share,1.34487,fraction of gain variance that is the shared global term
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_benign,0.000442,n=100000
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_benign,0.062691,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_bot,0.01102,n=31156
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_bot,0.993581,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_brute_force,0.268068,n=86279
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_brute_force,1.0,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_ddos,0.000288,n=100000
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_ddos,0.0,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_dos,0.426053,n=45446
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_dos,0.720893,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_infiltration,0.172627,n=28224
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_infiltration,0.570624,"positive-gain set overlap, within class"
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,utility_share_web_attacks,0.121501,n=381
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,posJaccard_e1e2_web_attacks,0.391076,"positive-gain set overlap, within class"
