cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15594,0.24753851594312087,48.73904623122478,0,9,0,0,0,15451,134
1,11036,0.11730131406441277,21.55213452402186,2691,0,0,0,8128,99,118
2,1955760,0.22040750938313544,0.21587499850038835,1738714,20642,39579,131674,21994,3157,0
