run,class,rows,proposed,accepted,g_ok_f_ok,helpful,harmful,wrong_wrong,wrong_wrong_changed,net_correction,net_per_1M,harmful_rate_of_correct,harmful_rate_lo,harmful_rate_hi,override_precision,override_prec_lo,override_prec_hi,acc_global_on_proposed,acc_final_on_proposed,acc_global_on_accepted,acc_final_on_accepted
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,benign,3502926,197741,224,3451055,1,213,51657,2,-212,-60.521,6.172e-05,5.397e-05,7.058e-05,0.004673,0.000825,0.02599,0.995985,0.994913,0.986607,0.040179
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,bot,41542,449,0,41415,0,0,127,0,0,0.0,0.0,0.0,9.275e-05,0.0,0.0,0.793451,0.721604,0.721604,,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,brute_force,115040,77364,0,77344,0,0,37696,0,0,0.0,0.0,0.0,4.966e-05,0.0,0.0,0.793451,0.999741,0.999741,,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,ddos,264872,101198,5732,238252,2928,81,23611,6,2847,10748.588,0.00033986,0.00027348,0.00042235,0.973081,0.966667,0.978288,0.764402,0.792535,0.286462,0.783147
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,dos,60594,35363,8552,22335,4157,0,34102,4389,4157,68604.152,0.0,0.0,0.00017196,1.0,0.999077,1.0,0.154993,0.272545,0.000468,0.486553
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,infiltration,37631,3186,0,12926,0,0,24705,0,0,0.0,0.0,0.0,0.0002971,0.0,0.0,0.793451,0.025424,0.025424,,
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,web_attacks,509,261,7,251,5,0,253,0,5,9823.183,0.0,0.0,0.01507392,1.0,0.565518,1.0,0.10728,0.126437,0.285714,1.0
20260827_051400_nfv3_cic2018_exp23d_anchmode_inverse,ALL,4023114,415562,14515,3843578,7091,294,172151,4397,6797,1689.487,7.649e-05,6.823e-05,8.574e-05,0.96019,0.955486,0.964415,0.860428,0.876784,0.128763,0.597038
