class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,20000,19971,0,0,29,0
bot,20000,19933,0,0,67,0
brute_force,20002,19998,0,0,4,0
ddos,20002,19828,0,0,174,0
dos,20005,12845,0,0,7160,0
infiltration,20000,5213,0,0,14787,0
web_attacks,509,445,0,0,64,0
