K,beta,tune_expert_balanced_nll
2,0.0,0.199424
2,0.5,0.24268
2,1.0,0.314282
4,0.0,0.240794
4,0.5,0.244628
4,1.0,0.285519
8,0.0,0.19796
8,0.5,0.210171
8,1.0,0.25249
