context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.16597,0.16597,0.165964,0.165964,0.165953,0.16597,0.00421
C0,0.749788,0.046084,0.046084,0.045984,0.045984,0.045984,0.020093
expert1,0.07821,0.078483,0.07821,0.080125,0.07821,0.576979,0.029783
expert2,0.200659,0.200671,0.200742,0.200163,0.138949,0.049819,0.008998
expert3,0.15219,0.15219,0.15219,0.15219,0.15219,0.15219,0.086857
