expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.8728,98,6034,0.6697,0.2451
2,48196,normgain,0.8529,68,7021,0.6893,0.4611
3,48196,normgain,0.875,78,5947,0.6589,0.2413
