class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,15091,15091,0,19971,19971
bot,11,11,0,19933,19933
brute_force,6994,6994,0,19998,19998
ddos,0,0,0,19828,19828
dos,1,1,0,12845,12845
infiltration,15,15,0,5213,5213
web_attacks,173,173,0,445,445
