beta,dataset,variant,roc,cross_entropy,accuracy,pred_time
0.5,pollen,raw,0.4877096831358786,0.7557712734411559,0.48596673596673595,1.0032780170440674
0.5,Sick_numeric,raw,0.9850047872732183,0.11381239932381505,0.9506892895015907,1.514258623123169
0.5,jungle_chess_2pcs_endgame_rat_rat,raw,1.0,2.101797138523435e-05,1.0,0.5315225124359131
0.5,led24,raw,0.9529246767020483,0.8483667853455276,0.72,0.440187931060791
0.5,led7,raw,0.956394940704363,0.8224059084899941,0.740625,0.3128361701965332
0.5,kr-vs-kp,raw,0.9990739360074085,0.04101910930219522,0.9868585732165206,0.5655961036682129
0.5,splice,raw,0.9949971173535164,0.10710129000553112,0.9705329153605016,4.000441789627075
0.5,space_ga,raw,0.9462607649914774,0.30143957056952153,0.868082368082368,1.0397915840148926
0.5,seismic-bumps,raw,0.7058092499634486,0.3930474530922184,0.9272445820433437,1.2933712005615234
0.5,ozone-level-8hr,raw,0.9193344566133109,0.19177526054549687,0.9139700078926598,0.7053868770599365
0.5,jungle_chess_2pcs_endgame_lion_lion,raw,0.9989992426701287,0.04165831822218454,0.9821428571428571,0.47737622261047363
0.5,jungle_chess_2pcs_endgame_elephant_elephant,raw,1.0,5.123145375334908e-05,1.0,0.4599473476409912
0.5,segment,raw,0.9991875464602736,0.060428452346926335,0.9774891774891775,0.6520500183105469
0.5,Titanic,raw,0.7469383907699267,0.5931581512809346,0.7356948228882834,0.29336071014404297
0.5,quake,raw,0.5167474899255514,0.7998204419983256,0.5105601469237833,0.5439865589141846
0.5,kc1,raw,0.7294595449668492,0.5036594561269226,0.809478672985782,1.1033356189727783
0.5,balloon,raw,0.8661743830530685,0.6334338364592761,0.5824175824175825,0.2757084369659424
0.5,mfeat-fourier,raw,0.9900755555555556,0.30866210967578317,0.868,1.2823853492736816
0.5,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.9179922413647067,0.18706536222123463,0.915,1.25388503074646
0.5,mfeat-karhunen,raw,0.9997288888888889,0.06445851970770336,0.983,1.2205405235290527
0.5,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8290519999999999,0.5112556550073978,0.744,1.052605390548706
0.5,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8784319999999999,0.44386820684151806,0.787,0.6206789016723633
0.5,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.7281764500806661,1.6610194108651721,0.388,1.027658224105835
0.5,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.98288,0.16525637079794953,0.936,1.0170152187347412
0.5,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.8955599999999999,0.37642817708543785,0.793,0.5690908432006836
0.5,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.888292510295127,0.3660449722932092,0.826,0.6342270374298096
0.5,mfeat-zernike,raw,0.9822988888888888,0.32928474305929617,0.845,0.391704797744751
0.5,connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.7602103263400094,0.7819477104793376,0.644,1.9717810153961182
0.5,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.9983688420782634,0.047934233098111664,0.987,0.37502503395080566
0.5,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,raw,0.810868,0.5349916248719924,0.725,0.9035203456878662
0.5,pollen,distpfn,0.4877096831358786,0.7558434626726227,0.4911642411642412,1.093484878540039
0.5,Sick_numeric,distpfn,0.9850047872732183,0.39387213814835537,0.9390243902439024,1.520860195159912
0.5,jungle_chess_2pcs_endgame_rat_rat,distpfn,1.0,2.007490588506831e-05,1.0,0.6789939403533936
0.5,led24,distpfn,0.9528536519187023,0.8498210241500536,0.718125,0.665684700012207
0.5,led7,distpfn,0.9561942986257387,0.8234472202677042,0.74125,0.31685733795166016
0.5,kr-vs-kp,distpfn,0.9990739360074085,0.04194425885069652,0.986232790988736,0.5277688503265381
0.5,splice,distpfn,0.9949587425089917,0.1035822955947952,0.9705329153605016,4.0283613204956055
0.5,space_ga,distpfn,0.9462607649914774,0.301410338802696,0.87001287001287,0.9369170665740967
0.5,seismic-bumps,distpfn,0.7058092499634486,0.714026077538487,0.9342105263157895,1.1838078498840332
0.5,ozone-level-8hr,distpfn,0.9193344566133109,0.20192981334923796,0.9368587213891081,0.7143287658691406
0.5,jungle_chess_2pcs_endgame_lion_lion,distpfn,0.9989992426701287,0.04699770541263245,0.9812925170068028,0.4740791320800781
0.5,jungle_chess_2pcs_endgame_elephant_elephant,distpfn,1.0,4.48482901167111e-05,1.0,0.46417784690856934
0.5,segment,distpfn,0.9991892955529319,0.06047113531523712,0.9774891774891775,0.7415645122528076
0.5,Titanic,distpfn,0.7469383907699267,0.54349332766425,0.7774750227066304,0.29193687438964844
0.5,quake,distpfn,0.5167474899255514,0.7961065638781042,0.5169880624426079,0.552046537399292
0.5,kc1,distpfn,0.7294595449668492,0.7118644777510403,0.8454976303317535,1.1493101119995117
0.5,balloon,distpfn,0.8661743830530685,0.5034586918768982,0.6903096903096904,0.36898303031921387
0.5,mfeat-fourier,distpfn,0.9900466666666666,0.3067833135638278,0.87,0.5770978927612305
0.5,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.9179922413647067,0.20744591798707046,0.937,1.246767520904541
0.5,mfeat-karhunen,distpfn,0.9997255555555556,0.06492126580633141,0.983,1.2075345516204834
0.5,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,distpfn,0.8290519999999999,0.5119431166708193,0.738,1.0479204654693604
