Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
airplane,0.965,0.6172049888071635,0.98,0.7399018497546244
automobile,0.978,0.7839679358717435,0.992,0.7967871485943775
bird,0.822,0.6942567567567568,0.903,0.8124156545209177
cat,0.744,0.6123456790123457,0.829,0.7121993127147767
deer,0.711,0.7251402345741969,0.843,0.8489425981873112
dog,0.532,0.6284701712935618,0.664,0.7418994413407821
frog,0.652,0.7625730994152047,0.791,0.8625954198473282
horse,0.54,0.683111954459203,0.667,0.7860931054802592
ship,0.33,0.49364248317127896,0.515,0.6740837696335078
truck,0.294,0.4530046224961479,0.461,0.6250847457627119
