expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.1732,0.0001,19.2884
2,0.6338,0.2825,6.4199
3,0.34,0.0405,10.0075
4,0.0703,0.0,38.3715
5,0.0915,0.0185,15.3772
