bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,15912,15912,True,False
residual,2,40311,40311,True,False
residual,3,112,112,True,False
residual,4,405,405,True,False
residual,5,186000,1931359,True,True
random,1,15912,15912,False,False
random,2,40311,40311,False,False
random,3,112,112,False,False
random,4,405,405,False,False
random,5,186000,1931359,False,True
proximity,1,15912,15912,False,False
proximity,2,40311,40311,False,False
proximity,3,112,112,False,False
proximity,4,405,405,False,False
proximity,5,186000,1931359,False,True
regime_random,1,15912,15912,True,False
regime_random,2,40311,40311,True,False
regime_random,3,112,112,True,False
regime_random,4,405,405,True,False
regime_random,5,186000,1931359,False,True
