expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15912,12761,15912,0,0,0,0,0,15912,0
2,40311,12761,40311,239,0,38556,0,0,1516,0
3,112,12761,112,0,0,0,0,0,0,112
4,405,12761,405,0,0,0,405,0,0,0
5,1931359,12761,186000,149281,8027,1388,16152,9873,1279,0
