a,b,gain_pearson_r
e1,e2,0.9756
e1,e3,0.9916
e1,e4,0.9527
e1,e5,0.9122
e2,e3,0.9782
e2,e4,0.955
e2,e5,0.9068
e3,e4,0.9525
e3,e5,0.9193
e4,e5,0.9295
