K,beta,tune_expert_balanced_nll
2,0.0,2.530678
2,0.5,4.570071
2,1.0,8.492214
4,0.0,1.038115
4,0.5,2.489464
4,1.0,5.851507
8,0.0,1.219375
8,0.5,3.154306
8,1.0,7.170326
