expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9591,176,8095,0.6124,0.6368
2,202121,normgain,0.8656,984,26182,0.6121,0.8582
3,202121,normgain,0.9408,528,11439,0.7793,0.3734
4,202121,normgain,0.9272,8926,5779,0.7818,0.4708
