K,beta,tune_expert_balanced_nll
2,0.0,3.542362
2,0.5,4.172602
2,1.0,5.386645
4,0.0,3.677474
4,0.5,4.449776
4,1.0,5.91481
8,0.0,3.87603
8,0.5,4.784386
8,1.0,6.421747
