context,benign,ddos,dos,reconnaissance,theft
ref(D_global),0.00101,0.441727,0.492899,0.064323,4.1e-05
C0,0.00102,0.441718,0.492885,0.064327,5e-05
expert1,0.010304,0.502979,0.460239,0.025474,0.001004
expert2,0.040298,0.040298,0.874917,0.04056,0.003927
expert3,0.382362,0.199402,0.199402,0.199402,0.019432
expert4,0.240072,0.256389,0.240072,0.240072,0.023395
