expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,150725,normgain,0.9877,0,1859,0.6958,0.9458
2,150725,normgain,0.9896,173,1401,0.5323,0.9634
3,150725,normgain,0.9223,171,11533,0.7475,0.9027
4,150725,normgain,0.9136,351,12678,0.7221,0.9034
