round,expert,coverage,regime_tune_rows,marginal,action
0,3,0.2595,20,,dropped(min-support)
0,4,0.5231,18,,dropped(min-support)
0,5,0.4393,0,,dropped(min-support)
0,7,0.0058,15,,dropped(min-support)
0,1,0.999,101,0.0254,kept(prune off)
0,2,0.1043,8074,0.0,kept(prune off)
0,6,0.2134,530,0.317,kept(prune off)
0,8,0.3455,91911,0.0,kept(prune off)
