class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,1861763,1861763,0,6353,6353
ddos,2,2,0,0,0
dos,0,0,0,450,450
reconnaissance,1140295,1140295,0,266467,266467
theft,21,21,0,54,54
