cluster,rows,weighted_mass,mean_residual,benign,ddos,dos,reconnaissance,theft
0,1761297,0.18261532900175834,0.030874694054665724,0,688368,944355,128574,0
1,41456,0.32797399057167853,2.3727264785974826,0,0,41443,13,0
2,1836,0.01274879204049039,8.779396683036184,1836,0,0,0,0
3,136,0.0014616406348255495,3.200366589885352,0,136,0,0,0
