class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,7475,6353,0,0,1122,0
ddos,1425033,0,0,0,1425033,0
dos,1576325,450,0,0,1575875,0
reconnaissance,266491,266467,0,0,24,0
theft,81,54,0,0,27,0
