a,b,agreement
global,e1,0.7799
global,e2,0.847
global,e3,0.8191
global,e4,0.7622
e1,e2,0.7828
e1,e3,0.8722
e1,e4,0.9731
e2,e3,0.856
e2,e4,0.7752
e3,e4,0.8775
