expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.12484719122926166,0.1565217673778534,0.8324540658541022,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
1,Balanced_Global,0.02677791791986029,0.09845157712697983,0.7502273967618701,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
2,Tail_Expert,0.007082565246919569,0.08709143102169037,0.7594043379734542,"0, 1, 3, 4, 5, 6, 7, 8, 9"
3,Spec_Group1_volume,0.022198505869797224,0.1101742535829544,0.7613566416348639,"0, 2, 3, 4, 5, 6, 7, 9"
4,Spec_Group2_timing,0.23863393810032016,0.08882872760295868,0.7287947802536009,"0, 2, 3, 4, 5, 6, 7, 9"
5,Spec_Group3_packet,0.028194430969244202,0.05922791734337807,0.7664655915302229,"0, 2, 3, 4, 5, 6, 7, 9"
6,Spec_Group4_tcp,0.041699815659260696,0.09956660866737366,0.7614357911105352,"0, 1, 3, 4, 5, 6, 7, 8"
7,Rand_1_packet,0.09248083826525662,0.09529531002044678,0.9725006425083527,"2, 5, 6, 7, 9"
8,Rand_2_timing,0.2739497428931794,0.09896977245807648,0.7553543017990454,"0, 2, 3, 4, 5, 6, 7, 8, 9"
9,Rand_3_packet,0.14413505384690017,0.10587260872125626,0.9649957519116398,"2, 5, 6, 7, 8, 9"
