expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.9581470751273389,0.3553014397621155,0.990022103376866,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
1,Balanced_Global,0.0005104015228373305,0.2899860441684723,0.9877699296457184,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"
2,Tail_Expert,0.006478334082898411,0.010945738293230534,0.9899069679665057,"0, 1, 3, 4, 5, 6, 7, 8, 9"
3,Spec_Group1_volume,0.02047044796100867,0.020060474053025246,0.002122890203280703,"0, 2, 3, 4, 5, 6, 7, 9"
4,Spec_Group2_timing,0.011230925311941095,0.010057932697236538,0.9882193560100837,"0, 2, 3, 4, 5, 6, 7, 9"
5,Spec_Group3_packet,0.0016211523778644718,0.014734314754605293,0.9736663850112779,"0, 2, 3, 4, 5, 6, 7, 9"
6,Spec_Group4_tcp,0.0009141207601635795,0.011311938054859638,0.7101565776597232,"0, 1, 3, 4, 5, 6, 7, 8"
7,Rand_1_packet,0.00022173180910146323,0.020050235092639923,0.9830224841238057,"2, 5, 6, 7, 9"
8,Rand_2_timing,0.00032423047557289433,0.24695569276809692,0.9884427756879549,"0, 2, 3, 4, 5, 6, 7, 8, 9"
9,Rand_3_packet,8.158057127317986e-05,0.020596232265233994,0.9820464989958333,"2, 5, 6, 7, 8, 9"
