K,beta,tune_expert_balanced_nll
2,0.0,1.38157
2,0.5,2.801129
2,1.0,5.865218
4,0.0,1.10617
4,0.5,2.563982
4,1.0,5.771328
8,0.0,0.922173
8,0.5,2.444312
8,1.0,5.682671
