expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15720,12761,15720,0,0,0,0,0,15719,1
2,1929386,12761,186000,128131,20624,6135,21624,6762,2724,0
3,251,12761,251,0,0,0,0,0,0,251
4,416,12761,416,0,0,0,416,0,0,0
