class,global_pred,rows,wrong,residual_mass,clipped_mass,clipped_rows
benign,benign,1723090,0,27201.34790680398,27201.34790680398,0
benign,bot,1,1,0.3527963058123253,0.3527963058123253,0
benign,ddos,3,3,0.7452433436204866,0.7452433436204866,0
benign,dos,22,22,7.1605398198097365,6.9815688545834265,3
benign,infiltration,2562,2562,644.1316999089835,644.0935958011962,1
benign,web_attacks,2934,2934,554.328001264564,554.2602774337836,5
bot,benign,11,11,579.3945659853925,6.6180992989172,11
bot,bot,28748,0,15276.803520458188,15222.825254615957,162
brute_force,brute_force,26083,0,5227.042771874962,5214.987630281169,150
ddos,ddos,182152,0,4853.626681619762,4853.626681619762,0
dos,dos,27335,0,10198.433753503337,2544.5940025599857,3524
infiltration,benign,4192,4192,295377.30495075596,2522.097478278264,4192
infiltration,infiltration,2752,0,16828.509054968512,1279.6839006118523,1652
infiltration,web_attacks,12,12,1172.406849887907,7.219744689727856,12
web_attacks,benign,4,4,13926.3696692194,2.4065815632426184,4
web_attacks,dos,1,1,5362.7647196187445,0.6016453908106546,1
web_attacks,web_attacks,98,0,62687.898646640104,58.96124829944415,98
