stage,class,rows,global_errors,bank_correctable,taken,helpful,harmful,changed,correctable_recovery,split
top1_no_gates,benign,50000,310,175,50000,12,9901,9913,0.06857142857142857,cal
top1_no_gates,bot,24924,2,2,24924,0,0,2,0.0,cal
top1_no_gates,brute_force,22617,0,0,22617,0,0,0,0.0,cal
top1_no_gates,ddos,50000,20,20,50000,20,0,20,1.0,cal
top1_no_gates,dos,23690,2,1,23690,0,0,0,0.0,cal
top1_no_gates,infiltration,4726,3840,3523,4726,2784,0,2802,0.7902355946636389,cal
top1_no_gates,web_attacks,117,62,4,117,3,0,3,0.75,cal
pre_only,benign,50000,310,175,0,0,0,0,0.0,cal
pre_only,bot,24924,2,2,0,0,0,0,0.0,cal
pre_only,brute_force,22617,0,0,0,0,0,0,0.0,cal
pre_only,ddos,50000,20,20,0,0,0,0,0.0,cal
pre_only,dos,23690,2,1,0,0,0,0,0.0,cal
pre_only,infiltration,4726,3840,3523,0,0,0,0,0.0,cal
pre_only,web_attacks,117,62,4,0,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,benign,50000,310,175,11164,0,3,3,0.0,cal
raw_verifier_gt0_diagnostic,bot,24924,2,2,24920,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,brute_force,22617,0,0,21903,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,ddos,50000,20,20,45585,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,dos,23690,2,1,16232,0,0,0,0.0,cal
raw_verifier_gt0_diagnostic,infiltration,4726,3840,3523,38,6,0,6,0.0017030939540164632,cal
raw_verifier_gt0_diagnostic,web_attacks,117,62,4,0,0,0,0,0.0,cal
post_only,benign,50000,310,175,0,0,0,0,0.0,cal
post_only,bot,24924,2,2,0,0,0,0,0.0,cal
post_only,brute_force,22617,0,0,0,0,0,0,0.0,cal
post_only,ddos,50000,20,20,0,0,0,0,0.0,cal
post_only,dos,23690,2,1,0,0,0,0,0.0,cal
post_only,infiltration,4726,3840,3523,0,0,0,0,0.0,cal
post_only,web_attacks,117,62,4,0,0,0,0,0.0,cal
both_gates_recomputed,benign,50000,310,175,0,0,0,0,0.0,cal
both_gates_recomputed,bot,24924,2,2,0,0,0,0,0.0,cal
both_gates_recomputed,brute_force,22617,0,0,0,0,0,0,0.0,cal
both_gates_recomputed,ddos,50000,20,20,0,0,0,0,0.0,cal
both_gates_recomputed,dos,23690,2,1,0,0,0,0,0.0,cal
both_gates_recomputed,infiltration,4726,3840,3523,0,0,0,0,0.0,cal
both_gates_recomputed,web_attacks,117,62,4,0,0,0,0,0.0,cal
top1_no_gates,benign,2652203,4328,4151,2652203,83,553225,553315,0.0199951818838834,eval
top1_no_gates,bot,41542,147,27,41542,19,11,32,0.7037037037037037,eval
top1_no_gates,brute_force,37696,20,0,37696,0,0,8,0.0,eval
top1_no_gates,ddos,262680,462,462,262680,457,0,458,0.9891774891774892,eval
top1_no_gates,dos,39483,615,55,39483,53,0,605,0.9636363636363636,eval
top1_no_gates,infiltration,8742,6009,5375,8742,4062,10,4139,0.7557209302325582,eval
top1_no_gates,web_attacks,127,16,15,127,11,0,12,0.7333333333333333,eval
pre_only,benign,2652203,4328,4151,0,0,0,0,0.0,eval
pre_only,bot,41542,147,27,0,0,0,0,0.0,eval
pre_only,brute_force,37696,20,0,0,0,0,0,0.0,eval
pre_only,ddos,262680,462,462,0,0,0,0,0.0,eval
pre_only,dos,39483,615,55,0,0,0,0,0.0,eval
pre_only,infiltration,8742,6009,5375,0,0,0,0,0.0,eval
pre_only,web_attacks,127,16,15,0,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,benign,2652203,4328,4151,502128,0,106,106,0.0,eval
raw_verifier_gt0_diagnostic,bot,41542,147,27,41215,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,brute_force,37696,20,0,36426,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,ddos,262680,462,462,207114,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,dos,39483,615,55,27999,0,0,0,0.0,eval
raw_verifier_gt0_diagnostic,infiltration,8742,6009,5375,149,13,0,13,0.0024186046511627908,eval
raw_verifier_gt0_diagnostic,web_attacks,127,16,15,1,0,0,0,0.0,eval
post_only,benign,2652203,4328,4151,0,0,0,0,0.0,eval
post_only,bot,41542,147,27,0,0,0,0,0.0,eval
post_only,brute_force,37696,20,0,0,0,0,0,0.0,eval
post_only,ddos,262680,462,462,0,0,0,0,0.0,eval
post_only,dos,39483,615,55,0,0,0,0,0.0,eval
post_only,infiltration,8742,6009,5375,0,0,0,0,0.0,eval
post_only,web_attacks,127,16,15,0,0,0,0,0.0,eval
both_gates_recomputed,benign,2652203,4328,4151,0,0,0,0,0.0,eval
both_gates_recomputed,bot,41542,147,27,0,0,0,0,0.0,eval
both_gates_recomputed,brute_force,37696,20,0,0,0,0,0,0.0,eval
both_gates_recomputed,ddos,262680,462,462,0,0,0,0,0.0,eval
both_gates_recomputed,dos,39483,615,55,0,0,0,0,0.0,eval
both_gates_recomputed,infiltration,8742,6009,5375,0,0,0,0,0.0,eval
both_gates_recomputed,web_attacks,127,16,15,0,0,0,0,0.0,eval
native_final_policy,benign,2652203,4328,4151,0,0,0,0,0.0,eval
native_final_policy,bot,41542,147,27,0,0,0,0,0.0,eval
native_final_policy,brute_force,37696,20,0,0,0,0,0,0.0,eval
native_final_policy,ddos,262680,462,462,0,0,0,0,0.0,eval
native_final_policy,dos,39483,615,55,0,0,0,0,0.0,eval
