split,model,class,precision,recall,f1,support,helpful,harmful
cal,global,benign,0.9271560249281636,0.9938,0.9593219684537715,50000,0,0
cal,global,bot,0.9999598764193717,0.9999197560584175,0.9999398158364595,24924,0,0
cal,global,brute_force,1.0,1.0,1.0,22617,0,0
cal,global,ddos,0.9999799923971109,0.9996,0.9997899600924176,50000,0,0
cal,global,dos,1.0,0.9999155761924863,0.9999577863143231,23690,0,0
cal,global,infiltration,0.7833775419982316,0.18747355057130766,0.3025439644869387,4726,0,0
cal,global,web_attacks,0.39285714285714285,0.4700854700854701,0.4280155642023346,117,0,0
cal,expert1,benign,0.9744748353602846,0.81088,0.8851821933061154,50000,9,9155
cal,expert1,bot,0.9987176404584436,0.9999197560584175,0.9993183367416496,24924,0,0
cal,expert1,brute_force,1.0,1.0,1.0,22617,0,0
cal,expert1,ddos,0.999979999199968,0.99994,0.999959999199984,50000,17,0
cal,expert1,dos,0.9995780234618955,0.9999155761924863,0.9997467713345151,23690,0,0
cal,expert1,infiltration,0.2892010673363679,0.7797291578501905,0.42191435768261965,4726,2799,0
cal,expert1,web_attacks,0.12636165577342048,0.49572649572649574,0.2013888888888889,117,3,0
cal,expert2,benign,0.911879429377186,0.9959,0.9520395384630091,50000,116,11
cal,expert2,bot,0.9998395249939822,0.9999197560584175,0.9998796389167502,24924,0,0
cal,expert2,brute_force,1.0,1.0,1.0,22617,0,0
cal,expert2,ddos,0.9999799518845228,0.99758,0.9987785342410893,50000,0,101
cal,expert2,dos,1.0,0.9999155761924863,0.9999577863143231,23690,0,0
cal,expert2,infiltration,0.3584905660377358,0.01608125264494287,0.03078169299311462,4726,0,810
cal,expert2,web_attacks,0.3888888888888889,0.47863247863247865,0.42911877394636017,117,2,1
cal,expert3,benign,0.9668617802756465,0.8292,0.8927552459598842,50000,15,8245
cal,expert3,bot,0.9985575767289046,0.9999197560584175,0.9992382021570907,24924,0,0
cal,expert3,brute_force,1.0,1.0,1.0,22617,0,0
cal,expert3,ddos,0.999960001599936,1.0,0.999980000399992,50000,20,0
cal,expert3,dos,0.9999577863143231,0.9999155761924863,0.9999366808079528,23690,0,0
cal,expert3,infiltration,0.283836832223929,0.7037663986457893,0.40452444660666503,4726,2447,7
cal,expert3,web_attacks,0.27751196172248804,0.49572649572649574,0.3558282208588957,117,3,0
cal,expert4,benign,0.9692185529450231,0.83,0.8942231032773815,50000,12,8202
