arm,target,key,variant,eval_target,target_f1,target_precision,target_recall,global_target_f1,delta_target_f1,H_all,D_all,H_ratio_all,H_target,D_target,H_ratio_target,macro_f1
pow0.25,,pow0.25,raw,mitm,0.03436966280247268,0.017491769484015877,0.979328165374677,0.06737937379056562,-0.03300971098809294,51952,62420,0.454237051026475,442,28964,0.015030946065428824,0.7179814089683203
pow0.25,,pow0.25,raw,ransomware,0.09947495388108415,0.052372058274187526,0.9887165021156559,0.1396551724137931,-0.04018021853270895,51952,62420,0.454237051026475,62,4311,0.014177909901669335,0.7179814089683203
pow0.25,,pow0.25,raw,scanning,0.6432815794517922,0.5231760548742466,0.8349643390280311,0.13841678150359824,0.5048647979481939,51952,62420,0.454237051026475,4604,4451,0.5084483710657095,0.7179814089683203
pow0.25,,pow0.25,raw,injection,0.8875405857466138,0.8096189746780911,0.9820586143327866,0.9315305555360145,-0.04398996978940073,51952,62420,0.454237051026475,3195,10289,0.23694749332542273,0.7179814089683203
pow0.25,,pow0.25,prior_b0.5,mitm,0.31772518304103525,0.1980050933786078,0.8036175710594315,0.06737937379056562,0.2503458092504696,85261,23307,0.7853234838994916,25355,434,0.9831711194695413,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,ransomware,0.13952020202020202,0.07538374076179648,0.9351198871650211,0.1396551724137931,-0.00013497039359108842,85261,23307,0.7853234838994916,84,263,0.2420749279538905,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,scanning,0.4933530280649926,0.48822478479779113,0.49859014761983744,0.13841678150359824,0.35493624656139433,85261,23307,0.7853234838994916,2877,3445,0.45507750711800066,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,injection,0.9264411061983358,0.8789489454280168,0.9793586970721865,0.9315305555360145,-0.005089449337678742,85261,23307,0.7853234838994916,3676,4946,0.42635119461841803,0.7527191172245752
pow0.25,,pow0.25,prior_b1.0,mitm,0.5293706293706294,0.4455562095350206,0.6520241171403962,0.06737937379056562,0.46199125558006376,84239,18715,0.8182197874779028,27690,305,0.9891051973566708,0.7307807189498993
pow0.25,,pow0.25,prior_b1.0,ransomware,0.20538449137514106,0.11594466690935566,0.8984485190409027,0.1396551724137931,0.06572931896134795,84239,18715,0.8182197874779028,3242,178,0.947953216374269,0.7307807189498993
pow0.25,,pow0.25,prior_b1.0,scanning,0.0009946949602122016,1.0,0.0004975949577044286,0.13841678150359824,-0.13742208654338603,84239,18715,0.8182197874779028,30,452,0.06224066390041494,0.7307807189498993
