arm,target,key,variant,class,ctx_rows,ctx_frac,support,f1,precision,recall,global_f1,delta_f1,macro_f1
pow0.25,,pow0.25,raw,backdoor,1797,0.08985,40030,0.9887068475547978,0.9781439468022687,0.9995003747189608,0.9987389659520807,-0.010032118397282908,0.7179814089683203
pow0.25,,pow0.25,raw,benign,3635,0.18175,1474302,0.9087503710980176,0.9987728655377571,0.8336141441848414,0.9119074559634021,-0.003157084865384463,0.7179814089683203
pow0.25,,pow0.25,raw,ddos,2699,0.13495,103338,0.9861494510365029,0.9819062694872164,0.9904294644757978,0.9687004211144844,0.017449029922018466,0.7179814089683203
pow0.25,,pow0.25,raw,dos,1559,0.07795,22458,0.8922865348056466,0.8174003260708463,0.9822780301006323,0.9831090114983511,-0.09082247669270449,0.7179814089683203
pow0.25,,pow0.25,raw,injection,2043,0.10215,68891,0.8875405857466138,0.8096189746780911,0.9820586143327866,0.9315305555360145,-0.04398996978940073,0.7179814089683203
pow0.25,,pow0.25,raw,mitm,730,0.0365,1161,0.03436966280247268,0.017491769484015877,0.979328165374677,0.06737937379056562,-0.03300971098809294,0.7179814089683203
pow0.25,,pow0.25,raw,password,2725,0.13625,210951,0.8916210733386611,0.8064204423448572,0.9969518987821816,0.8909104384376754,0.0007106349009857738,0.7179814089683203
pow0.25,,pow0.25,raw,ransomware,657,0.03285,709,0.09947495388108415,0.052372058274187526,0.9887165021156559,0.1396551724137931,-0.04018021853270895,0.7179814089683203
pow0.25,,pow0.25,raw,scanning,1115,0.05575,6029,0.6432815794517922,0.5231760548742466,0.8349643390280311,0.13841678150359824,0.5048647979481939,0.7179814089683203
pow0.25,,pow0.25,raw,xss,3040,0.152,343854,0.8476330299676137,0.7575093537765444,0.9620972854758124,0.8069904524044945,0.040642577563119175,0.7179814089683203
pow0.25,,pow0.25,prior_b0.5,backdoor,1797,0.08985,40030,0.9986646199158835,0.9978302616155822,0.9995003747189608,0.9987389659520807,-7.434603619715929e-05,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,benign,3635,0.18175,1474302,0.933293374651187,0.9950887127188822,0.8787243047896564,0.9119074559634021,0.021385918687784944,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,ddos,2699,0.13495,103338,0.9853869242313464,0.9796380956024408,0.9912036230621842,0.9687004211144844,0.01668650311686204,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,dos,1559,0.07795,22458,0.9819014585556741,0.9805933031352696,0.983213108914418,0.9831090114983511,-0.0012075529426769371,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,injection,2043,0.10215,68891,0.9264411061983358,0.8789489454280168,0.9793586970721865,0.9315305555360145,-0.005089449337678742,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,mitm,730,0.0365,1161,0.31772518304103525,0.1980050933786078,0.8036175710594315,0.06737937379056562,0.2503458092504696,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,password,2725,0.13625,210951,0.891766196508669,0.806239416438713,0.9975918578248029,0.8909104384376754,0.0008557580709935841,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,ransomware,657,0.03285,709,0.13952020202020202,0.07538374076179648,0.9351198871650211,0.1396551724137931,-0.00013497039359108842,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,scanning,1115,0.05575,6029,0.4933530280649926,0.48822478479779113,0.49859014761983744,0.13841678150359824,0.35493624656139433,0.7527191172245752
pow0.25,,pow0.25,prior_b0.5,xss,3040,0.152,343854,0.8591390790584263,0.7613452588453038,0.9857584905221403,0.8069904524044945,0.05214862665393183,0.7527191172245752
pow0.25,,pow0.25,prior_b1.0,backdoor,1797,0.08985,40030,0.9988259685759249,0.9987511239884105,0.9989008243817137,0.9987389659520807,8.700262384420121e-05,0.7307807189498993
